bot1_role,bot2_role,bot1_constraint,bot2_constraint,price,quality,profit_bot1,profit_bot2
buyer,supplier,8,3,10,4,2,3
supplier,buyer,3,8,7,1,3,2
buyer,supplier,10,3,7,1,4,3
supplier,buyer,3,10,8,2,3,4
buyer,supplier,9,3,10,4,3,3
buyer,supplier,8,2,8,3,3,3
supplier,buyer,1,9,8,3,4,4
buyer,supplier,9,2,7,2,4,3
buyer,supplier,10,1,8,2,4,5
supplier,buyer,2,8,7,2,3,3
supplier,buyer,2,10,9,3,4,4
supplier,buyer,3,9,6,0,3,3
buyer,supplier,9,2,7,2,4,3
supplier,buyer,2,9,6,1,3,4
supplier,buyer,3,8,10,4,3,2
supplier,buyer,2,10,8,2,4,4
buyer,supplier,8,1,6,2,4,3
buyer,supplier,8,3,7,1,2,3
buyer,supplier,9,3,6,0,3,3
supplier,buyer,2,8,5,0,3,3
supplier,buyer,2,8,7,2,3,3
buyer,supplier,10,2,9,3,4,4
supplier,buyer,3,10,10,3,4,3
supplier,buyer,2,8,7,2,3,3
buyer,supplier,10,3,10,3,3,4
supplier,buyer,3,9,9,3,3,3
buyer,supplier,9,1,5,0,4,4
supplier,buyer,1,10,8,3,4,5
buyer,supplier,10,2,6,0,4,4
supplier,buyer,2,8,7,2,3,3
buyer,supplier,9,3,7,1,3,3
buyer,supplier,8,1,7,3,4,3
supplier,buyer,3,10,9,3,3,4
supplier,buyer,2,9,7,2,3,4
supplier,buyer,3,8,8,2,3,2
buyer,supplier,10,2,8,2,4,4
buyer,supplier,10,1,5,0,5,4
buyer,supplier,9,2,9,4,4,3
supplier,buyer,3,10,8,1,4,3
buyer,supplier,10,1,7,2,5,4
supplier,buyer,2,9,7,1,4,3
supplier,buyer,3,8,10,4,3,2
buyer,supplier,9,3,10,4,3,3
buyer,supplier,8,1,8,3,3,4
buyer,supplier,10,2,6,0,4,4
supplier,buyer,3,10,8,2,3,4
supplier,buyer,3,8,6,1,2,3
buyer,supplier,9,1,5,0,4,4
buyer,supplier,9,2,7,2,4,3
supplier,buyer,3,10,6,0,3,4
supplier,buyer,1,9,7,2,4,4
buyer,supplier,8,1,7,2,3,4
buyer,supplier,9,2,6,0,3,4
buyer,supplier,10,3,10,4,4,3
buyer,supplier,10,2,6,0,4,4
supplier,buyer,1,10,8,2,5,4
buyer,supplier,10,3,9,2,3,4
buyer,supplier,8,1,8,4,4,3
supplier,buyer,3,8,9,3,3,2
buyer,supplier,9,2,6,1,4,3
supplier,buyer,1,10,8,3,4,5
supplier,buyer,3,8,9,4,2,3
supplier,buyer,3,9,6,0,3,3
buyer,supplier,10,1,8,3,5,4
supplier,buyer,1,8,5,1,3,4
supplier,buyer,1,10,8,2,5,4
buyer,supplier,10,1,10,4,4,5
supplier,buyer,3,9,8,2,3,3
buyer,supplier,8,3,7,2,3,2
buyer,supplier,8,3,8,2,2,3
buyer,supplier,8,2,9,4,3,3
supplier,buyer,1,9,6,1,4,4
supplier,buyer,1,10,5,0,4,5
supplier,buyer,3,9,9,3,3,3
supplier,buyer,3,9,8,2,3,3
buyer,supplier,9,2,9,4,4,3
buyer,supplier,8,1,7,3,4,3
buyer,supplier,9,2,7,1,3,4
supplier,buyer,3,10,9,2,4,3
buyer,supplier,9,2,9,4,4,3
supplier,buyer,1,8,5,1,3,4
buyer,supplier,9,1,6,1,4,4
buyer,supplier,10,3,9,3,4,3
buyer,supplier,10,2,6,0,4,4
supplier,buyer,1,9,7,2,4,4
supplier,buyer,1,9,6,1,4,4
supplier,buyer,1,8,6,2,3,4
supplier,buyer,2,10,8,2,4,4
buyer,supplier,9,2,9,3,3,4
supplier,buyer,3,10,10,3,4,3
buyer,supplier,10,2,10,4,4,4
buyer,supplier,9,1,5,0,4,4
buyer,supplier,10,2,6,0,4,4
buyer,supplier,8,3,7,1,2,3
supplier,buyer,3,8,9,4,2,3
supplier,buyer,3,8,6,1,2,3
buyer,supplier,10,1,7,2,5,4
buyer,supplier,10,1,8,3,5,4
supplier,buyer,3,8,6,0,3,2
buyer,supplier,8,3,8,2,2,3
supplier,buyer,3,10,11,4,4,3
buyer,supplier,10,1,9,4,5,4
buyer,supplier,10,1,6,1,5,4
supplier,buyer,1,9,6,1,4,4
supplier,buyer,1,10,9,4,4,5
supplier,buyer,1,9,7,2,4,4
supplier,buyer,3,10,10,4,3,4
supplier,buyer,1,8,4,0,3,4
supplier,buyer,1,8,9,4,4,3
supplier,buyer,1,8,7,3,3,4
supplier,buyer,1,10,6,1,4,5
buyer,supplier,9,3,8,2,3,3
buyer,supplier,8,1,7,2,3,4
buyer,supplier,10,2,10,4,4,4
buyer,supplier,10,3,9,3,4,3
supplier,buyer,1,10,9,4,4,5
buyer,supplier,10,2,9,3,4,4
buyer,supplier,10,1,9,3,4,5
supplier,buyer,1,10,7,1,5,4
supplier,buyer,2,8,8,3,3,3
supplier,buyer,3,9,6,0,3,3
supplier,buyer,2,9,9,4,3,4
buyer,supplier,10,2,8,2,4,4
supplier,buyer,1,9,6,1,4,4
buyer,supplier,9,3,8,2,3,3
supplier,buyer,3,9,7,1,3,3
supplier,buyer,3,8,8,2,3,2
buyer,supplier,8,1,4,0,4,3
buyer,supplier,10,2,6,0,4,4
buyer,supplier,9,3,9,3,3,3
supplier,buyer,2,10,6,0,4,4
supplier,buyer,2,9,8,2,4,3
supplier,buyer,2,9,7,1,4,3
buyer,supplier,9,2,5,0,4,3
buyer,supplier,8,1,8,4,4,3
supplier,buyer,1,10,9,3,5,4
supplier,buyer,2,9,7,1,4,3
supplier,buyer,3,9,7,1,3,3
supplier,buyer,2,8,9,4,3,3
buyer,supplier,8,1,6,2,4,3
buyer,supplier,8,2,5,0,3,3
supplier,buyer,2,8,5,0,3,3
buyer,supplier,10,1,8,2,4,5
supplier,buyer,1,8,4,0,3,4
supplier,buyer,2,10,7,1,4,4
buyer,supplier,8,2,7,2,3,3
supplier,buyer,3,9,6,0,3,3
supplier,buyer,3,10,9,3,3,4
buyer,supplier,10,2,6,0,4,4
supplier,buyer,2,10,10,4,4,4
supplier,buyer,1,9,9,4,4,4
supplier,buyer,1,8,5,1,3,4
supplier,buyer,2,9,6,0,4,3
buyer,supplier,9,2,7,2,4,3
supplier,buyer,1,9,6,1,4,4
supplier,buyer,3,9,10,4,3,3
supplier,buyer,1,10,8,2,5,4
supplier,buyer,3,9,9,3,3,3
supplier,buyer,2,9,7,2,3,4
supplier,buyer,1,9,7,2,4,4
supplier,buyer,1,8,8,3,4,3
supplier,buyer,1,10,5,0,4,5
buyer,supplier,10,2,9,3,4,4
buyer,supplier,9,1,8,3,4,4
buyer,supplier,10,3,8,1,3,4
supplier,buyer,1,8,8,4,3,4
buyer,supplier,9,1,6,1,4,4
buyer,supplier,8,3,9,3,2,3
buyer,supplier,10,2,7,1,4,4
buyer,supplier,9,1,9,4,4,4
buyer,supplier,10,3,10,3,3,4
supplier,buyer,3,10,6,0,3,4
buyer,supplier,8,3,8,3,3,2
supplier,buyer,1,8,9,4,4,3
supplier,buyer,2,10,7,1,4,4
supplier,buyer,2,8,7,2,3,3
buyer,supplier,10,2,10,4,4,4
buyer,supplier,10,2,8,2,4,4
supplier,buyer,2,9,6,0,4,3
buyer,supplier,10,3,7,1,4,3
buyer,supplier,10,2,8,2,4,4
buyer,supplier,10,3,7,0,3,4
supplier,buyer,2,10,9,3,4,4
supplier,buyer,2,9,8,2,4,3
buyer,supplier,8,3,10,4,2,3
supplier,buyer,3,10,7,0,4,3
supplier,buyer,1,9,7,2,4,4
buyer,supplier,8,3,10,4,2,3
buyer,supplier,8,3,5,0,3,2
supplier,buyer,2,10,8,2,4,4
buyer,supplier,10,1,6,1,5,4
supplier,buyer,2,9,8,2,4,3
supplier,buyer,2,8,6,1,3,3
buyer,supplier,8,1,6,2,4,3
supplier,buyer,1,8,4,0,3,4
supplier,buyer,2,9,6,1,3,4
supplier,buyer,1,8,4,0,3,4
buyer,supplier,8,3,5,0,3,2
buyer,supplier,8,2,6,1,3,3
buyer,supplier,8,1,5,0,3,4
buyer,supplier,9,3,10,4,3,3
buyer,supplier,10,2,10,4,4,4
buyer,supplier,9,1,9,4,4,4
supplier,buyer,3,8,10,4,3,2
buyer,supplier,10,2,10,4,4,4
buyer,supplier,9,2,8,2,3,4
supplier,buyer,1,9,5,0,4,4
buyer,supplier,8,3,8,3,3,2
buyer,supplier,9,1,6,1,4,4
supplier,buyer,2,8,9,4,3,3
buyer,supplier,8,3,9,4,3,2
buyer,supplier,10,1,8,2,4,5
buyer,supplier,9,3,10,4,3,3
supplier,buyer,3,10,9,2,4,3
buyer,supplier,9,3,8,2,3,3
buyer,supplier,10,3,10,3,3,4
supplier,buyer,2,10,9,3,4,4
buyer,supplier,8,1,6,2,4,3
buyer,supplier,9,1,9,4,4,4
buyer,supplier,10,2,6,0,4,4
buyer,supplier,8,1,9,4,3,4
buyer,supplier,8,3,8,2,2,3
buyer,supplier,9,1,5,0,4,4
supplier,buyer,1,9,8,3,4,4
buyer,supplier,8,2,6,1,3,3
buyer,supplier,8,2,7,2,3,3
supplier,buyer,1,10,7,1,5,4
supplier,buyer,1,10,6,1,4,5
buyer,supplier,10,3,10,4,4,3
supplier,buyer,3,10,10,3,4,3
buyer,supplier,9,1,7,2,4,4
supplier,buyer,2,9,6,0,4,3
buyer,supplier,10,3,10,4,4,3
supplier,buyer,1,10,7,1,5,4
buyer,supplier,8,2,7,2,3,3
buyer,supplier,8,1,8,4,4,3
supplier,buyer,1,8,7,3,3,4
supplier,buyer,3,9,8,2,3,3
supplier,buyer,1,8,4,0,3,4
supplier,buyer,3,10,10,4,3,4
supplier,buyer,1,10,8,3,4,5
buyer,supplier,8,2,5,0,3,3
buyer,supplier,8,2,7,2,3,3
supplier,buyer,2,9,6,1,3,4
supplier,buyer,2,9,5,0,3,4
buyer,supplier,9,3,6,0,3,3
supplier,buyer,2,9,5,0,3,4
supplier,buyer,2,10,7,1,4,4
supplier,buyer,3,10,8,1,4,3
supplier,buyer,3,9,6,0,3,3
buyer,supplier,8,2,7,2,3,3
supplier,buyer,3,9,10,4,3,3
supplier,buyer,3,9,9,3,3,3
supplier,buyer,2,9,5,0,3,4
buyer,supplier,8,3,5,0,3,2
buyer,supplier,8,3,10,4,2,3
supplier,buyer,3,8,7,2,2,3
buyer,supplier,9,2,8,2,3,4
buyer,supplier,8,2,5,0,3,3
buyer,supplier,9,3,9,3,3,3
supplier,buyer,3,8,8,3,2,3
supplier,buyer,1,9,6,1,4,4
buyer,supplier,10,1,5,0,5,4
buyer,supplier,9,2,6,1,4,3
supplier,buyer,3,9,8,2,3,3
buyer,supplier,10,1,7,1,4,5
buyer,supplier,10,1,7,1,4,5
supplier,buyer,2,10,10,4,4,4
supplier,buyer,3,9,7,1,3,3
buyer,supplier,10,2,7,1,4,4
supplier,buyer,3,9,6,0,3,3
buyer,supplier,9,3,9,3,3,3
supplier,buyer,3,10,10,4,3,4
buyer,supplier,9,1,7,2,4,4
supplier,buyer,1,9,5,0,4,4
buyer,supplier,8,1,7,3,4,3
buyer,supplier,10,1,5,0,5,4
buyer,supplier,10,1,5,0,5,4
buyer,supplier,9,1,5,0,4,4
supplier,buyer,3,8,6,0,3,2
buyer,supplier,8,2,8,3,3,3
buyer,supplier,10,2,9,3,4,4
supplier,buyer,3,8,10,4,3,2
supplier,buyer,3,9,10,4,3,3
buyer,supplier,9,3,6,0,3,3
buyer,supplier,9,2,6,1,4,3
buyer,supplier,9,2,8,2,3,4
supplier,buyer,2,10,9,3,4,4
supplier,buyer,2,10,8,2,4,4
supplier,buyer,1,10,6,0,5,4
buyer,supplier,9,1,5,0,4,4
buyer,supplier,10,1,6,1,5,4
supplier,buyer,1,10,6,0,5,4
buyer,supplier,8,1,5,0,3,4
supplier,buyer,2,8,5,0,3,3
buyer,supplier,8,1,5,1,4,3
buyer,supplier,8,2,7,2,3,3
buyer,supplier,8,3,5,0,3,2
buyer,supplier,10,2,7,1,4,4
supplier,buyer,2,8,6,1,3,3
buyer,supplier,10,2,8,2,4,4
buyer,supplier,8,3,6,0,2,3
buyer,supplier,10,3,8,1,3,4
supplier,buyer,1,9,7,2,4,4
buyer,supplier,9,3,6,0,3,3
supplier,buyer,2,10,9,3,4,4
supplier,buyer,1,9,7,2,4,4
supplier,buyer,2,8,9,4,3,3
supplier,buyer,2,10,6,0,4,4
buyer,supplier,8,2,9,4,3,3
buyer,supplier,8,3,5,0,3,2
supplier,buyer,3,10,9,3,3,4
buyer,supplier,10,1,7,2,5,4
supplier,buyer,3,9,8,2,3,3
buyer,supplier,8,2,6,1,3,3
buyer,supplier,10,3,9,2,3,4
supplier,buyer,3,8,7,1,3,2
supplier,buyer,3,10,8,1,4,3
supplier,buyer,3,10,9,3,3,4
buyer,supplier,10,3,9,2,3,4
supplier,buyer,1,8,7,2,4,3
buyer,supplier,9,2,10,4,3,4
buyer,supplier,8,2,7,2,3,3
supplier,buyer,2,10,8,2,4,4
buyer,supplier,8,2,6,1,3,3
buyer,supplier,9,1,5,0,4,4
buyer,supplier,8,2,9,4,3,3
buyer,supplier,8,1,5,1,4,3
supplier,buyer,3,9,6,0,3,3
buyer,supplier,9,1,8,3,4,4
buyer,supplier,10,3,6,0,4,3
buyer,supplier,8,1,8,4,4,3
buyer,supplier,10,1,8,2,4,5
supplier,buyer,2,9,7,1,4,3
supplier,buyer,2,10,7,1,4,4
supplier,buyer,1,8,7,3,3,4
buyer,supplier,10,3,11,4,3,4
buyer,supplier,8,2,7,2,3,3
buyer,supplier,8,1,4,0,4,3
supplier,buyer,3,10,8,2,3,4
buyer,supplier,8,1,5,0,3,4
buyer,supplier,8,3,7,1,2,3
supplier,buyer,3,9,10,4,3,3
supplier,buyer,2,8,9,4,3,3
supplier,buyer,3,9,8,2,3,3
supplier,buyer,3,8,8,2,3,2
buyer,supplier,9,2,7,2,4,3
supplier,buyer,3,9,9,3,3,3
supplier,buyer,2,8,6,1,3,3
supplier,buyer,1,8,7,3,3,4
buyer,supplier,8,3,8,2,2,3
buyer,supplier,9,3,7,1,3,3
supplier,buyer,2,9,6,0,4,3
buyer,supplier,8,2,7,2,3,3
buyer,supplier,10,1,8,2,4,5
buyer,supplier,9,2,10,4,3,4
buyer,supplier,8,1,6,1,3,4
buyer,supplier,10,3,10,3,3,4
buyer,supplier,10,1,9,4,5,4
buyer,supplier,8,3,5,0,3,2
buyer,supplier,10,2,6,0,4,4
buyer,supplier,8,3,10,4,2,3
buyer,supplier,9,3,7,1,3,3
supplier,buyer,3,8,5,0,2,3
supplier,buyer,2,9,5,0,3,4
buyer,supplier,9,1,5,0,4,4
supplier,buyer,2,8,7,2,3,3
supplier,buyer,1,9,8,3,4,4
buyer,supplier,8,1,8,4,4,3
supplier,buyer,1,10,8,3,4,5
supplier,buyer,2,10,10,4,4,4
buyer,supplier,8,1,7,3,4,3
buyer,supplier,8,3,8,3,3,2
buyer,supplier,8,3,7,2,3,2
buyer,supplier,8,1,5,0,3,4
supplier,buyer,3,10,8,2,3,4
supplier,buyer,2,9,8,2,4,3
supplier,buyer,3,10,7,0,4,3
buyer,supplier,9,1,6,1,4,4
supplier,buyer,1,10,8,3,4,5
buyer,supplier,8,2,5,0,3,3
supplier,buyer,3,10,10,4,3,4
buyer,supplier,10,1,8,2,4,5
supplier,buyer,1,8,6,1,4,3
buyer,supplier,9,2,6,1,4,3
buyer,supplier,10,2,6,0,4,4
buyer,supplier,9,2,7,2,4,3
supplier,buyer,2,9,8,2,4,3
supplier,buyer,1,8,8,3,4,3
supplier,buyer,3,9,8,2,3,3
supplier,buyer,2,10,9,3,4,4
supplier,buyer,2,10,8,2,4,4
supplier,buyer,2,10,8,2,4,4
supplier,buyer,1,10,5,0,4,5
buyer,supplier,9,1,5,0,4,4
supplier,buyer,2,9,9,3,4,3
supplier,buyer,2,9,8,2,4,3
buyer,supplier,8,1,5,1,4,3
buyer,supplier,8,2,8,3,3,3
buyer,supplier,9,1,8,3,4,4
supplier,buyer,2,9,7,1,4,3
buyer,supplier,10,3,9,3,4,3
buyer,supplier,8,2,9,4,3,3
supplier,buyer,3,8,9,4,2,3
supplier,buyer,1,10,6,0,5,4
buyer,supplier,9,1,8,3,4,4
buyer,supplier,8,2,8,3,3,3
supplier,buyer,1,9,6,1,4,4
buyer,supplier,8,2,5,0,3,3
buyer,supplier,8,1,7,2,3,4
supplier,buyer,2,10,10,4,4,4
supplier,buyer,2,10,6,0,4,4
buyer,supplier,9,2,8,3,4,3
supplier,buyer,3,10,11,4,4,3
buyer,supplier,10,2,6,0,4,4
supplier,buyer,2,9,9,4,3,4
supplier,buyer,1,9,6,1,4,4
supplier,buyer,2,9,6,1,3,4
supplier,buyer,2,8,9,4,3,3
supplier,buyer,3,9,8,2,3,3
buyer,supplier,10,1,10,4,4,5
buyer,supplier,10,1,9,4,5,4
supplier,buyer,2,10,10,4,4,4
buyer,supplier,9,2,5,0,4,3
supplier,buyer,1,8,8,3,4,3
buyer,supplier,9,1,8,3,4,4
supplier,buyer,2,9,6,1,3,4
supplier,buyer,2,10,8,2,4,4
supplier,buyer,1,8,7,3,3,4
buyer,supplier,9,3,8,2,3,3
supplier,buyer,1,8,5,1,3,4
buyer,supplier,8,3,7,2,3,2
buyer,supplier,8,3,5,0,3,2
supplier,buyer,3,8,8,2,3,2
supplier,buyer,1,10,9,3,5,4
supplier,buyer,3,8,6,1,2,3
supplier,buyer,1,10,7,2,4,5
supplier,buyer,2,9,8,3,3,4
supplier,buyer,3,9,10,4,3,3
buyer,supplier,8,2,7,2,3,3
supplier,buyer,3,8,9,3,3,2
buyer,supplier,8,2,6,1,3,3
buyer,supplier,9,1,6,1,4,4
buyer,supplier,8,2,9,4,3,3
buyer,supplier,10,3,9,3,4,3
supplier,buyer,2,10,6,0,4,4
buyer,supplier,10,1,10,4,4,5
buyer,supplier,8,1,5,0,3,4
buyer,supplier,8,1,7,3,4,3
buyer,supplier,8,3,6,1,3,2
supplier,buyer,1,9,5,0,4,4
supplier,buyer,2,10,8,2,4,4
supplier,buyer,1,9,7,2,4,4
buyer,supplier,9,3,9,3,3,3
buyer,supplier,10,1,7,1,4,5
buyer,supplier,10,2,10,4,4,4
supplier,buyer,1,10,8,3,4,5
buyer,supplier,10,2,9,3,4,4
supplier,buyer,2,10,10,4,4,4
buyer,supplier,8,3,10,4,2,3
buyer,supplier,10,1,9,3,4,5
buyer,supplier,9,2,9,3,3,4
supplier,buyer,2,10,8,2,4,4
buyer,supplier,10,1,7,1,4,5
supplier,buyer,3,9,10,4,3,3
buyer,supplier,9,3,10,4,3,3
buyer,supplier,10,2,6,0,4,4
buyer,supplier,8,1,5,1,4,3
buyer,supplier,10,2,6,0,4,4
supplier,buyer,2,10,8,2,4,4
buyer,supplier,10,1,7,2,5,4
supplier,buyer,1,10,9,3,5,4
buyer,supplier,8,3,10,4,2,3
buyer,supplier,8,2,9,4,3,3
buyer,supplier,10,1,7,1,4,5
buyer,supplier,10,2,9,3,4,4
buyer,supplier,8,3,7,2,3,2
supplier,buyer,1,9,8,3,4,4
buyer,supplier,8,2,7,2,3,3
supplier,buyer,2,10,7,1,4,4
supplier,buyer,2,8,7,2,3,3
buyer,supplier,9,3,9,3,3,3
buyer,supplier,8,3,9,4,3,2
supplier,buyer,1,8,4,0,3,4
supplier,buyer,3,10,11,4,4,3
supplier,buyer,1,10,10,4,5,4
supplier,buyer,3,8,9,4,2,3
supplier,buyer,2,9,9,4,3,4
supplier,buyer,2,10,9,3,4,4
supplier,buyer,1,10,7,1,5,4
supplier,buyer,1,8,6,1,4,3
buyer,supplier,9,2,8,2,3,4
buyer,supplier,10,3,10,3,3,4
buyer,supplier,8,1,7,3,4,3
supplier,buyer,3,10,8,1,4,3
supplier,buyer,1,9,8,3,4,4
buyer,supplier,10,2,6,0,4,4
